station_id,station_name,longitude,latitude,u_bahn_lines
de:11000:900018102,U Halemweg (Berlin),13.286578,52.536703,U7
de:11000:900019204,U Mierendorffplatz (Berlin),13.305715,52.525978,U7
de:11000:900020201,S+U Jungfernheide Bhf (Berlin),13.300124,52.530452,U7
de:11000:900022101,U Sophie-Charlotte-Platz (Berlin),13.297463,52.51097,U2
de:11000:900022201,U Deutsche Oper (Berlin),13.30942,52.511827,U2
de:11000:900022202,U Richard-Wagner-Platz (Berlin),13.307221,52.517154,U7
de:11000:900023101,U Ernst-Reuter-Platz (Berlin),13.322581,52.511582,U2
de:11000:900023201,S+U Zoologischer Garten Bhf (Berlin),13.332707,52.506921,"U2,U9"
de:11000:900023202,U Augsburger Str. (Berlin),13.336461,52.500442,U3
de:11000:900023203,U Kurfürstendamm (Berlin),13.331419,52.503763,"U1,U9"
de:11000:900023301,U Uhlandstr. (Berlin),13.326233,52.502742,U1
de:11000:900023302,U Adenauerplatz (Berlin),13.307348,52.500086,U7
de:11000:900024201,U Bismarckstr. (Berlin),13.305335,52.511543,"U2,U7"
de:11000:900024202,U Wilmersdorfer Str. (Berlin),13.306774,52.506415,U7
de:11000:900025202,U Ruhleben (Berlin),13.241902,52.525587,U2
de:11000:900025203,U Olympia-Stadion (Berlin),13.2505,52.517048,U2
de:11000:900026101,U Neu-Westend (Berlin),13.25991,52.516409,U2
de:11000:900026201,U Theodor-Heuss-Platz (Berlin),13.272977,52.509798,U2
de:11000:900026202,U Kaiserdamm (Berlin),13.281695,52.509985,U2
de:11000:900029301,U Altstadt Spandau (Berlin),13.206763,52.539161,U7
de:11000:900029302,S+U Rathaus Spandau (Berlin),13.199837,52.535641,U7
de:11000:900033101,U Zitadelle (Berlin),13.217625,52.537522,U7
de:11000:900034101,U Paulsternstr. (Berlin),13.248065,52.538127,U7
de:11000:900034102,U Haselhorst (Berlin),13.231946,52.538687,U7
de:11000:900035101,U Siemensdamm (Berlin),13.273323,52.537026,U7
de:11000:900036101,U Rohrdamm (Berlin),13.26287,52.536904,U7
de:11000:900041101,U Fehrbelliner Platz (Berlin),13.314405,52.490365,"U3,U7"
de:11000:900041102,U Blissestr. (Berlin),13.320545,52.486478,U7
de:11000:900041201,U Konstanzer Str. (Berlin),13.310084,52.493567,U7
de:11000:900042101,U Spichernstr. (Berlin),13.330613,52.496582,"U3,U9"
de:11000:900043101,U Hohenzollernplatz (Berlin),13.324051,52.493833,U3
de:11000:900043201,U Güntzelstr. (Berlin),13.33121,52.491992,U9
de:11000:900044201,U Berliner Str. (Berlin),13.331355,52.487047,"U7,U9"
de:11000:900044202,S+U Bundesplatz (Berlin),13.328626,52.477667,U9
de:11000:900045101,U Rüdesheimer Platz (Berlin),13.314387,52.472462,U3
de:11000:900045102,S+U Heidelberger Platz (Berlin),13.31229,52.480124,U3
de:11000:900050201,U Krumme Lanke (Berlin),13.24036,52.442615,U3
de:11000:900050282,U Onkel Toms Hütte (Berlin),13.254016,52.450146,U3
de:11000:900051201,U Freie Universität (Thielplatz) (Berlin),13.281651,52.451,U3
de:11000:900051202,U Breitenbachplatz (Berlin),13.309276,52.467342,U3
de:11000:900051301,U Oskar-Helene-Heim (Berlin),13.26891,52.450419,U3
de:11000:900051302,U Podbielskiallee (Berlin),13.295203,52.464172,U3
de:11000:900051303,U Dahlem-Dorf (Berlin),13.290011,52.457695,U3
de:11000:900054102,U Kleistpark (Berlin),13.360543,52.490686,U7
de:11000:900054103,U Eisenacher Str. (Berlin),13.350284,52.489477,U7
de:11000:900055102,U Bayerischer Platz (Berlin),13.340237,52.488654,U7
de:11000:900056101,U Wittenbergplatz (Berlin),13.342561,52.502109,"U1,U2,U3"
de:11000:900056102,U Nollendorfplatz (Berlin),13.353825,52.499644,"U1,U2,U3"
de:11000:900056104,U Bülowstr. (Berlin),13.362456,52.497627,U2
de:11000:900057103,S+U Yorckstr. (Berlin),13.3698,52.49283,U7
de:11000:900061101,U Walther-Schreiber-Platz (Berlin),13.328409,52.464998,U9
de:11000:900061102,U Friedrich-Wilhelm-Platz (Berlin),13.328676,52.471439,U9
de:11000:900062202,S+U Rathaus Steglitz (Berlin),13.322152,52.455066,U9
de:11000:900062203,U Schloßstr. (Berlin),13.324836,52.461183,U9
de:11000:900068101,U Paradestr. (Berlin),13.386725,52.478142,U6
de:11000:900068201,S+U Tempelhof (Berlin),13.3859,52.470574,U6
de:11000:900068202,U Alt-Tempelhof (Berlin),13.385796,52.46593,U6
de:11000:900068302,U Kaiserin-Augusta-Str. (Berlin),13.384905,52.460512,U6
de:11000:900069271,U Ullsteinstr. (Berlin),13.384771,52.45345,U6
de:11000:900070101,U Westphalweg (Berlin),13.385744,52.445646,U6
de:11000:900070301,U Alt-Mariendorf (Berlin),13.38792,52.438609,U6
de:11000:900078101,U Hermannplatz (Berlin),13.42472,52.486957,"U7,U8"
de:11000:900078102,U Rathaus Neukölln (Berlin),13.434807,52.481146,U7
de:11000:900078103,U Karl-Marx-Str. (Berlin),13.439805,52.476429,U7
de:11000:900078201,S+U Neukölln (Berlin),13.443692,52.469282,U7
de:11000:900079201,U Leinestr. (Berlin),13.4284,52.472874,U8
de:11000:900079202,U Boddinstr. (Berlin),13.425782,52.479745,U8
de:11000:900079221,S+U Hermannstr. (Berlin),13.431704,52.467181,U8
de:11000:900080201,U Blaschkoallee (Berlin),13.448976,52.452743,U7
de:11000:900080202,U Grenzallee (Berlin),13.444828,52.463516,U7
de:11000:900080401,U Parchimer Allee (Berlin),13.449967,52.445299,U7
de:11000:900080402,U Britz-Süd (Berlin),13.447668,52.437076,U7
de:11000:900082201,U Lipschitzallee (Berlin),13.463109,52.424645,U7
de:11000:900082202,U Johannisthaler Chaussee (Berlin),13.453851,52.429253,U7
de:11000:900083101,U Zwickauer Damm (Berlin),13.484371,52.423032,U7
de:11000:900083102,U Wutzkyallee (Berlin),13.47482,52.423152,U7
de:11000:900083201,U Rudow (Berlin),13.496527,52.415714,U7
de:11000:900085104,U Paracelsus-Bad (Berlin),13.347301,52.574432,U8
de:11000:900085202,U Franz-Neumann-Platz (Berlin),13.364283,52.563854,U8
de:11000:900085203,U Residenzstr. (Berlin),13.360635,52.570843,U8
de:11000:900086102,U Kurt-Schumacher-Platz (Berlin),13.327328,52.563483,U6
de:11000:900086160,U Lindauer Allee (Berlin),13.339036,52.575386,U8
de:11000:900096101,S+U Wittenau (Berlin),13.335481,52.596392,U8
de:11000:900096410,U Rathaus Reinickendorf (Berlin),13.325568,52.588218,U8
de:11000:900096458,S+U Karl-Bonhoeffer-Nervenklinik (Berlin),13.332921,52.578169,U8
de:11000:900100001,S+U Friedrichstr. Bhf (Berlin),13.387253,52.520304,U6
de:11000:900100003,S+U Alexanderplatz Bhf (Berlin),13.411267,52.521512,"U2,U5,U8"
de:11000:900100004,S+U Jannowitzbrücke (Berlin),13.418027,52.5155,U8
de:11000:900100008,U Heinrich-Heine-Str. (Berlin),13.416124,52.510558,U8
de:11000:900100009,U Naturkundemuseum (Berlin),13.382415,52.531254,U6
de:11000:900100010,U Anton-Wilhelm-Amo-Str. (Berlin),13.383798,52.511519,U2
de:11000:900100011,U Stadtmitte (Berlin),13.389719,52.511495,U6
de:11000:900100012,U Hausvogteiplatz (Berlin),13.395346,52.513361,U2
de:11000:900100013,U Spittelmarkt (Berlin),13.402031,52.511411,U2
de:11000:900100014,U Märkisches Museum (Berlin),13.408767,52.512007,U2
de:11000:900100015,U Klosterstr. (Berlin),13.412455,52.517229,U2
de:11000:900100016,U Rosa-Luxemburg-Platz (Berlin),13.410405,52.528191,U2
de:11000:900100017,U Schillingstr. (Berlin),13.421895,52.520316,U5
de:11000:900100019,U Oranienburger Tor (Berlin),13.387587,52.525163,U6
de:11000:900100020,S+U Potsdamer Platz Bhf (Berlin),13.376547,52.509358,U2
de:11000:900100023,U Rosenthaler Platz (Berlin),13.401393,52.529781,U8
de:11000:900100025,S+U Brandenburger Tor (Berlin),13.381937,52.516511,U5
de:11000:900100045,U Rotes Rathaus (Berlin),13.407061,52.518462,U5
de:11000:900100051,U Weinmeisterstr. (Berlin),13.405305,52.525376,U8
de:11000:900100501,U Schwartzkopffstr. (Berlin),13.377033,52.535397,U6
de:11000:900100513,U Unter den Linden (Berlin),13.388876,52.516996,"U5,U6"
de:11000:900100537,U Museumsinsel (Berlin),13.400394,52.518086,U5
de:11000:900100701,U Stadtmitte (Berlin),13.390543,52.512199,U2
de:11000:900110001,S+U Schönhauser Allee (Berlin),13.415138,52.549336,U2
de:11000:900110005,U Senefelderplatz (Berlin),13.412625,52.532622,U2
de:11000:900110006,U Eberswalder Str. (Berlin),13.41216,52.541085,U2
de:11000:900120001,S+U Frankfurter Allee (Berlin),13.475848,52.51358,U5
de:11000:900120004,S+U Warschauer Str. (Berlin),13.449159,52.505765,"U1,U3"
de:11000:900120006,U Strausberger Platz (Berlin),13.432208,52.518025,U5
de:11000:900120008,U Frankfurter Tor (Berlin),13.454085,52.515772,U5
de:11000:900120009,U Samariterstr. (Berlin),13.465347,52.514662,U5
de:11000:900120025,U Weberwiese (Berlin),13.443278,52.516848,U5
de:11000:900130002,S+U Pankow (Berlin),13.412279,52.567281,U2
de:11000:900130011,U Vinetastr. (Berlin),13.41377,52.559517,U2
de:11000:900160004,S+U Lichtenberg Bhf (Berlin),13.498359,52.510672,U5
de:11000:900160005,U Magdalenenstr. (Berlin),13.487492,52.512457,U5
de:11000:900161002,U Tierpark (Berlin),13.523626,52.497236,U5
de:11000:900161512,U Friedrichsfelde (Berlin),13.513544,52.505464,U5
de:11000:900171005,U Biesdorf-Süd (Berlin),13.547326,52.499517,U5
de:11000:900171006,U Elsterwerdaer Platz (Berlin),13.560646,52.505133,U5
de:11000:900175001,S+U Wuhletal (Berlin),13.574536,52.512724,U5
de:11000:900175004,U Kaulsdorf-Nord (Berlin),13.588763,52.521436,U5
de:11000:900175005,U Kienberg (Gärten der Welt) (Berlin),13.59055,52.52849,U5
de:11000:900175006,U Cottbusser Platz (Berlin),13.596894,52.533963,U5
de:11000:900175007,U Hellersdorf (Berlin),13.605323,52.536328,U5
de:11000:900175010,U Hönow (Berlin),13.634541,52.538105,U5
de:11000:900175015,U Louis-Lewin-Str. (Berlin),13.619707,52.539135,U5
