event_name,began_local,estimated_end_local,venue_name,address,city,country,segment,genre,description,estimated_attendance,event_url
Cirque du Soleil ALIZÉ,2026-06-12T20:00:00+02:00,2026-06-12T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,626,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/599219829?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-12T21:00:00+02:00,2026-06-12T23:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,620,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-13T16:00:00+02:00,2026-06-13T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,624,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/38208908?language=en-us
Helene Fischer - 360° Stadion Tour 2026,2026-06-13T19:30:00+02:00,2026-06-13T22:30:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,World,Segment: Music | Genre: World,2231,https://www.ticketmaster.de/event/helene-fischer-360-stadion-tour-2026-tickets/529171?language=en-us
Helene Fischer - 360° Stadion Tour 2026 - VIP Packages,2026-06-13T19:30:00+02:00,2026-06-13T22:30:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,World,Segment: Music | Genre: World,1718,https://www.ticketmaster.de/event/helene-fischer-360-stadion-tour-2026-vip-packages-tickets/529693?language=en-us
Helene Fischer - 360° Stadion Tour 2026 |  Business Seat Package,2026-06-13T19:30:00+02:00,2026-06-13T22:30:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,World,Segment: Music | Genre: World,2108,https://www.ticketmaster.de/event/helene-fischer-360-stadion-tour-2026-%7C-business-seat-package-tickets/532961?language=en-us
Cirque du Soleil ALIZÉ,2026-06-13T20:00:00+02:00,2026-06-13T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,446,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1862887104?language=en-us
DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-13T20:00:00+02:00,2026-06-13T23:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1703,https://www.ticketmaster.de/event/dj-bobo-%7C-box-seat-in-the-ticketmaster-suite-tickets/1760083530?language=en-us
Cirque du Soleil ALIZÉ,2026-06-14T13:00:00+02:00,2026-06-14T15:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,614,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1039696745?language=en-us
Cirque du Soleil ALIZÉ,2026-06-14T17:00:00+02:00,2026-06-14T19:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,539,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1832833691?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-14T19:00:00+02:00,2026-06-14T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,692,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14T20:00:00+02:00,2026-06-14T23:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1788,https://www.ticketmaster.de/event/dj-bobo-%7C-box-seat-in-the-ticketmaster-suite-tickets/1751465579?language=en-us
Hayley Williams,2026-06-15T00:00:00+02:00,2026-06-15T03:00:00+02:00,Tempodrom Berlin,Mockernstrasse 10,Berlin,Germany,Music,Other,Segment: Music | Genre: Other,1485,https://www.ticketmaster.com/event/Z7r9jZ1A7rek3
WIR ARBEITEN DRAN - Stand-up Comedy Berlin,2026-06-15T20:00:00+02:00,2026-06-15T22:00:00+02:00,Oblomov Kreuzkoelln,Lenaustraße 7,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,708,https://www.universe.com/events/wir-arbeiten-dran-stand-up-comedy-berlin-tickets-LF359S?ref=ticketmaster
femtanyl - Man Bites Dog Tour,2026-06-15T20:00:00+02:00,2026-06-15T23:00:00+02:00,,Hermannstraße 146,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1929,https://www.ticketmaster.de/event/femtanyl-man-bites-dog-tour-tickets/1147402566?language=en-us
Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15T20:00:00+02:00,2026-06-15T23:00:00+02:00,Tempodrom,Möckernstraße 10,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2195,https://www.ticketmaster.de/event/good-dye-young-presents-hayley-williams-at-a-bachelorette-party-tickets/394816175?language=en-us
Tom Misch,2026-06-16T20:00:00+02:00,2026-06-16T23:00:00+02:00,,Hasenheide 107 - 113,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1821,https://www.ticketmaster.de/event/tom-misch-tickets/255614013?language=en-us
Chezile - Wish You Were Here EU/UK Tour,2026-06-16T20:00:00+02:00,2026-06-16T23:00:00+02:00,,Skalitzer Straße 85-86,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2343,https://www.ticketmaster.de/event/chezile-wish-you-were-here-eu-uk-tour-tickets/953024638?language=en-us
Cirque du Soleil ALIZÉ,2026-06-17T19:30:00+02:00,2026-06-17T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,841,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/458914780?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-17T20:00:00+02:00,2026-06-17T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,730,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17T20:00:00+02:00,2026-06-17T23:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,2025,https://www.ticketmaster.de/event/doja-cat-tour-ma-vie-world-tour-%7C-premium-packages-tickets/1561582957?language=en-us
Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17T20:00:00+02:00,2026-06-17T22:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Arts & Theatre,Miscellaneous,Segment: Arts & Theatre | Genre: Miscellaneous,603,https://www.ticketmaster.de/event/doja-cat-tour-ma-vie-world-tour-%7C-box-seat-in-the-ticketmaster-suite-tickets/1800351331?language=en-us
Doja Cat - Tour Ma Vie World Tour,2026-06-17T20:00:00+02:00,2026-06-17T23:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,2381,https://www.ticketmaster.de/event/doja-cat-tour-ma-vie-world-tour-tickets/867308287?language=en-us
Kings of Leon,2026-06-18T19:00:00+02:00,2026-06-18T22:00:00+02:00,,Am Juliusturm,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1666,https://www.ticketmaster.de/event/kings-of-leon-tickets/1401938636?language=en-us
Jimmy Carr | Box seat in the Ticketmaster Suite,2026-06-18T19:30:00+02:00,2026-06-18T21:30:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,581,https://www.ticketmaster.de/event/jimmy-carr-%7C-box-seat-in-the-ticketmaster-suite-tickets/1176105791?language=en-us
Cirque du Soleil ALIZÉ,2026-06-18T19:30:00+02:00,2026-06-18T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,676,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1158520359?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-18T20:00:00+02:00,2026-06-18T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,725,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Casey Frey and Special Guest – Nick Colletti,2026-06-18T20:00:00+02:00,2026-06-18T22:00:00+02:00,PUNCH L!NE Club Berlin,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,540,https://www.ticketmaster.de/event/casey-frey-and-special-guest--nick-colletti-tickets/1828718426?language=en-us
Keli Holiday,2026-06-18T20:00:00+02:00,2026-06-18T23:00:00+02:00,,Schönhauser Allee 36,Berlin,Germany,Music,Alternative,Segment: Music | Genre: Alternative,1869,https://www.ticketmaster.de/event/keli-holiday-tickets/1748664961?language=en-us
Mieze - Releasy Party,2026-06-18T21:00:00+02:00,2026-06-19T00:00:00+02:00,,Holzmarktstraße 15,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,1879,https://www.ticketmaster.de/event/mieze-releasy-party-tickets/1145885572?language=en-us
Cirque du Soleil ALIZÉ,2026-06-19T16:00:00+02:00,2026-06-19T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,474,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/683497407?language=en-us
The Velvet Creepers present CARAVAN OBSCURA,2026-06-19T18:00:00+02:00,2026-06-19T20:00:00+02:00,Zirkus Mond,Lilli-Henoch-Straße 10,Berlin,Germany,Arts & Theatre,Circus & Specialty Acts,Segment: Arts & Theatre | Genre: Circus & Specialty Acts,769,https://www.universe.com/events/the-velvet-creepers-present-caravan-obscura-tickets-XMYP57?ref=ticketmaster
Lachkater - die Stand Up Comedy Show,2026-06-19T19:00:00+02:00,2026-06-19T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,625,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Lachkater Open Air Stand Up Comedy Show Luftschloss Tempelhofer Feld,2026-06-19T19:30:00+02:00,2026-06-19T21:30:00+02:00,Luftschloss Tempelhofer Feld,Tempelhofer Damm 85,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,599,https://www.universe.com/events/lachkater-open-air-stand-up-comedy-show-luftschloss-tempelhofer-feld-tickets-XD15QP?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-19T20:00:00+02:00,2026-06-19T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,509,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1685328828?language=en-us
fakemink - a Terrible Beauty . - The Tour,2026-06-19T20:00:00+02:00,2026-06-19T23:00:00+02:00,,Hasenheide 107 - 113,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,1729,https://www.ticketmaster.de/event/fakemink-a-terrible-beauty--the-tour-tickets/892873552?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-19T21:00:00+02:00,2026-06-19T23:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,619,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-20T16:00:00+02:00,2026-06-20T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,648,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/379758721?language=en-us
The Velvet Creepers present CARAVAN OBSCURA,2026-06-20T18:00:00+02:00,2026-06-20T20:00:00+02:00,Zirkus Mond,Lilli-Henoch-Straße 10,Berlin,Germany,Arts & Theatre,Circus & Specialty Acts,Segment: Arts & Theatre | Genre: Circus & Specialty Acts,534,https://www.universe.com/events/the-velvet-creepers-present-caravan-obscura-tickets-RD6GL0?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-20T20:00:00+02:00,2026-06-20T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,535,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/30149151?language=en-us
Kevin Bridges - Here If You Need Me,2026-06-20T20:00:00+02:00,2026-06-20T22:00:00+02:00,PUNCH L!NE Club Berlin,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,703,https://www.ticketmaster.de/event/kevin-bridges-here-if-you-need-me-tickets/321804888?language=en-us
Cirque du Soleil ALIZÉ,2026-06-21T13:00:00+02:00,2026-06-21T15:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,598,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1109876703?language=en-us
Cirque du Soleil ALIZÉ,2026-06-21T17:00:00+02:00,2026-06-21T19:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,636,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/319193337?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-21T19:00:00+02:00,2026-06-21T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,699,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
WIR ARBEITEN DRAN - Stand-up Comedy Berlin,2026-06-22T20:00:00+02:00,2026-06-22T22:00:00+02:00,Oblomov Kreuzkoelln,Lenaustraße 7,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,592,https://www.universe.com/events/wir-arbeiten-dran-stand-up-comedy-berlin-tickets-LF359S?ref=ticketmaster
Guns N’ Roses - World Tour 2026,2026-06-23T18:30:00+02:00,2026-06-23T21:30:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1996,https://www.ticketmaster.de/event/guns-n-roses-world-tour-2026-tickets/987462732?language=en-us
Cirque du Soleil ALIZÉ,2026-06-24T18:30:00+02:00,2026-06-24T20:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,579,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/552460818?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-24T20:00:00+02:00,2026-06-24T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,719,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
OXIS - Live in Europe,2026-06-24T20:00:00+02:00,2026-06-24T23:00:00+02:00,Kantine am Berghain,Am Wriezener Bahnhof,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2056,https://www.ticketmaster.de/event/oxis-live-in-europe-tickets/852462423?language=en-us
Guns N’ Roses - World Tour 2026 | Box seat,2026-06-25T18:30:00+02:00,2026-06-25T21:30:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2119,https://www.ticketmaster.de/event/guns-n-roses-world-tour-2026-%7C-box-seat-tickets/1940460287?language=en-us
Guns N’ Roses - World Tour 2026,2026-06-25T18:30:00+02:00,2026-06-25T21:30:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1469,https://www.ticketmaster.de/event/guns-n-roses-world-tour-2026-tickets/394383334?language=en-us
Cirque du Soleil ALIZÉ,2026-06-25T19:30:00+02:00,2026-06-25T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,546,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/700559673?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-25T20:00:00+02:00,2026-06-25T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,623,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-26T16:00:00+02:00,2026-06-26T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,655,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/481365603?language=en-us
Bruno Mars – The Romantic Tour,2026-06-26T18:00:00+02:00,2026-06-26T21:00:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1288,https://www.ticketmaster.de/event/bruno-mars--the-romantic-tour-tickets/999494063?language=en-us
Bruno Mars,2026-06-26T18:00:00+02:00,2026-06-26T21:00:00+02:00,Olympiastadion - Berlin,Olympischer Platz 3,Berlin,Germany,Music,R&B,Segment: Music | Genre: R&B,2035,https://www.ticketmaster.com/event/Z7r9jZ1A7OE_K
Lachkater - die Stand Up Comedy Show,2026-06-26T19:00:00+02:00,2026-06-26T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,785,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Namasenda,2026-06-26T20:00:00+02:00,2026-06-26T23:00:00+02:00,Mikropol,Nollendorfplatz 5,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1425,https://www.ticketmaster.de/event/namasenda-tickets/1195424089?language=en-us
Cirque du Soleil ALIZÉ,2026-06-26T20:00:00+02:00,2026-06-26T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,591,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/332984714?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-26T21:00:00+02:00,2026-06-26T23:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,706,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
The Cloud,2026-06-26T21:00:00+02:00,2026-06-26T23:00:00+02:00,Haus der Visionäre, Eichenstraße 4A,Berlin,Germany,Arts & Theatre,Dance,Segment: Arts & Theatre | Genre: Dance,644,https://www.universe.com/events/the-cloud-tickets-3LNT0M?ref=ticketmaster
Omar76 - Tour 2026 - Tour 2026 | Premium Upgrade (no Ticket included),2026-06-27T00:00:00+02:00,2026-06-27T03:00:00+02:00,,Hermannstraße 146,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,2145,https://www.ticketmaster.de/event/omar76-tour-2026-tour-2026-%7C-premium-upgrade-no-ticket-included--tickets/38606300?language=en-us
Bottoms Up Brunch!,2026-06-27T12:00:00+02:00,2026-06-27T14:00:00+02:00,Vagabund Brauerei Kesselhaus,Oudenarder Str. 16-20,Berlin,Germany,Arts & Theatre,Variety,Segment: Arts & Theatre | Genre: Variety,666,https://www.universe.com/events/bottoms-up-brunch-tickets-VDTNJK?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-27T16:00:00+02:00,2026-06-27T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,553,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1782166946?language=en-us
A night with Sinatra in Berlin,2026-06-27T19:30:00+02:00,2026-06-27T21:30:00+02:00,,Budapester Straße 45,Berlin,Germany,Arts & Theatre,Fine Art,Segment: Arts & Theatre | Genre: Fine Art,740,https://www.universe.com/events/a-night-with-sinatra-in-berlin-tickets-F5DCYB?ref=ticketmaster
LA PRIEST,2026-06-27T20:00:00+02:00,2026-06-27T23:00:00+02:00,,Skalitzer Str. 134,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1558,https://www.ticketmaster.de/event/la-priest-tickets/1294855635?language=en-us
Cirque du Soleil ALIZÉ,2026-06-27T20:00:00+02:00,2026-06-27T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,538,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/854084510?language=en-us
"Lexa Gates	 - I Am 2026 Tour",2026-06-27T20:00:00+02:00,2026-06-27T23:00:00+02:00,,Obentrautstraße 19-21,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,1903,https://www.ticketmaster.de/event/lexa-gates-i-am-2026-tour-tickets/282189196?language=en-us
The Cloud,2026-06-27T21:00:00+02:00,2026-06-27T23:00:00+02:00,Haus der Visionäre, Eichenstraße 4A,Berlin,Germany,Arts & Theatre,Dance,Segment: Arts & Theatre | Genre: Dance,537,https://www.universe.com/events/the-cloud-tickets-3LNT0M?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-28T13:00:00+02:00,2026-06-28T15:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,667,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/330293345?language=en-us
Cirque du Soleil ALIZÉ,2026-06-28T17:00:00+02:00,2026-06-28T19:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,395,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/291465678?language=en-us
Bruno Mars – The Romantic Tour,2026-06-28T18:00:00+02:00,2026-06-28T21:00:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1614,https://www.ticketmaster.de/event/bruno-mars--the-romantic-tour-tickets/1359666397?language=en-us
Bruno Mars,2026-06-28T18:00:00+02:00,2026-06-28T21:00:00+02:00,Olympiastadion - Berlin,Olympischer Platz 3,Berlin,Germany,Music,R&B,Segment: Music | Genre: R&B,2207,https://www.ticketmaster.com/event/Z7r9jZ1A7OE_f
Lachkater - die Stand Up Comedy Show,2026-06-28T19:00:00+02:00,2026-06-28T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,687,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Bruno Mars – The Romantic Tour,2026-06-29T18:00:00+02:00,2026-06-29T21:00:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2063,https://www.ticketmaster.de/event/bruno-mars--the-romantic-tour-tickets/756141301?language=en-us
Bruno Mars,2026-06-29T18:00:00+02:00,2026-06-29T21:00:00+02:00,Olympiastadion - Berlin,Olympischer Platz 3,Berlin,Germany,Music,R&B,Segment: Music | Genre: R&B,1628,https://www.ticketmaster.com/event/Z7r9jZ1A7OE_4
